Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Report,1W_value,1M_value,3M_value,6M_value,1Y_value,5Y_value,1W_FLG,1M_FLG,3M_FLG,6M_FLG,1Y_FLG,5Y_FLG
500410,ACC Ltd,ACC,ACC LTD.,Active,A ,10.0,INE012A01025,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,C,-5.29,0.84,0.1,-3.28,0.84,-5.58,N,N,N,N,N,Y
500411,Thermax Ltd.,THERMAX,THERMAX LTD.,Active,A ,2.0,INE152A01029,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,C,-3.79,-1.64,16.69,8.35,-1.64,-2.68,N,N,N,N,N,N
500412,Thirumalai Chemicals Ltd.,TIRUMALCHM,THIRUMALAI CHEMICALS LTD.,Active,A ,1.0,INE338A01024,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,C,-7.36,2.18,1.75,22.27,2.18,20.5,N,N,N,N,N,N
500413,Thomas Cook (India) Ltd.,THOMASCOOK,THOMAS COOK (INDIA) LTD.,Active,A ,1.0,INE332A01027,"Tour, Travel Related Services",Equity,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services",C,-2.74,2.11,-3.81,-4.89,2.11,-8.16,N,N,Y,Y,N,Y
500418,Tokyo Plast International Ltd.,TOKYOPLAST,TOKYO PLAST INTERNATIONAL LTD.,Active,B ,10.0,INE932C01012,Plastic Products - Consumer,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer,C,-3.69,11.03,16.93,16.17,11.03,19.24,N,N,N,N,N,N
500420,Torrent Pharmaceuticals Ltd.,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,Active,A ,5.0,INE685A01028,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,C,-1.47,-9.76,-3.7,24.05,-9.76,12.83,N,Y,Y,N,Y,N
500425,Ambuja Cements Ltd.,AMBUJACEM,AMBUJA CEMENTS LTD.,Active,A ,2.0,INE079A01024,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,C,-4.44,-4.16,-8.75,-2.0,-4.16,-6.22,N,N,Y,N,N,Y
500429,Uniphos Enterprises Limited.,UNIENTER,UNIPHOS ENTERPRISES LTD.,Active,B ,2.0,INE037A01022,Trading - Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals,C,-4.11,-7.62,-4.99,2.55,-7.62,-3.9,N,Y,Y,N,Y,N
500439,Vardhman Holdings Limited,VHL,VARDHMAN HOLDINGS LTD.,Active,B ,10.0,INE701A01023,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,C,9.23,5.14,7.22,38.37,5.14,41.22,N,Y,Y,N,Y,N
500440,Hindalco Industries Ltd.,HINDALCO,HINDALCO INDUSTRIES LTD.,Active,A ,1.0,INE038A01020,Aluminium,Equity,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium,C,-3.32,-2.66,15.33,11.79,-2.66,4.09,N,N,N,N,N,N
500444,West Coast Paper Mills Limited,WSTCSTPAPR,WEST COAST PAPER MILLS LTD.,Active,A ,2.0,INE976A01021,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,C,-6.52,-6.82,-3.15,-13.05,-6.82,-4.11,N,Y,N,Y,Y,N
500456,Pasupati Acrylon Ltd.,PASUPTAC,PASUPATI ACRYLON LTD.,Active,T ,10.0,INE818B01023,Petrochemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,C,-10.81,-1.35,21.96,36.39,-1.35,35.11,N,N,N,N,N,N
500458,Kore Foods Limited,KORE,Kore Foods Ltd,Active,X ,10.0,INE601A01017,Other Food Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products,C,,-2.48,-18.73,16.26,-2.48,8.9,N,N,N,N,N,N
500459,Procter & Gamble Hygiene & Health Care Ltd.,PGHH,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,Active,A ,10.0,INE179A01014,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,C,0.51,-5.97,-6.88,-0.44,-5.97,-5.74,N,Y,Y,Y,Y,Y
500460,Mukand Ltd.,MUKANDLTD,MUKAND LTD.,Active,B ,10.0,INE304A01026,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,C,-12.69,-4.85,-7.04,-13.0,-4.85,-2.47,N,N,N,Y,N,N
500463,BLACK BOX LIMITED,BBOX,Black Box Ltd,Active,B ,2.0,INE676A01027,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services,C,-2.49,16.42,1.15,155.2,16.42,118.26,N,N,N,N,N,N
500464,UCAL LIMITED,UCAL,Ucal  Ltd,Active,B ,10.0,INE139B01016,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,C,-1.69,-6.56,1.76,0.02,-6.56,7.18,N,Y,N,N,Y,N
500467,Harrisons Malayalam Ltd.,HARRMALAYA,HARRISONS MALAYALAM LTD.,Active,T ,10.0,INE544A01019,Rubber,Equity,Industrials,Capital Goods,Industrial Products,Rubber,C,-3.99,5.64,21.53,55.95,5.64,65.93,N,N,N,N,N,N
500469,Federal Bank Ltd.,FEDERALBNK,FEDERAL BANK LTD.,Active,A ,2.0,INE171A01029,Private Sector Bank,Equity,Financial Services,Financial Services,Banks,Private Sector Bank,C,-3.22,10.17,5.66,30.2,10.17,24.05,N,N,N,N,N,N
500470,TATA STEEL LIMITED,TATASTEEL,TATA STEEL LTD.,Active,A ,1.0,INE081A01020,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,C,-7.8,-3.42,2.22,-7.49,-3.42,-14.13,N,N,N,N,N,Y
500472,SKF India Ltd.,SKFINDIA,SKF India Ltd,Active,A ,10.0,INE640A01023,Abrasives & Bearings,Equity,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings,C,-4.13,-4.26,-4.87,12.56,-4.26,-16.67,N,Y,Y,N,Y,Y
500477,Ashok Leyland Ltd.,ASHOKLEY,ASHOK LEYLAND LTD.,Active,A ,1.0,INE208A01029,Commercial Vehicles,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,C,0.7,-2.8,-12.46,8.7,-2.8,-6.84,N,Y,Y,N,Y,Y
500480,Cummins India Ltd.,CUMMINSIND,CUMMINS INDIA LTD.,Active,A ,2.0,INE298A01020,Compressors- Pumps & Diesel Engines,Equity,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines",C,-6.43,-3.99,-3.13,4.85,-3.99,0.14,N,N,N,N,N,N
500483,Tata Communications Limited,TATACOMM,TATA COMMUNICATIONS LTD.,Active,A ,10.0,INE151A01013,Telecom - Cellular & Fixed line services,Equity,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,C,-3.36,-7.2,-2.45,2.97,-7.2,-0.2,N,Y,N,N,Y,N
500488,Abbott India Ltd.,ABBOTINDIA,ABBOTT INDIA LTD.,Active,A ,10.0,INE358A01014,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,C,-2.42,1.76,7.07,12.37,1.76,6.0,N,N,N,N,N,N
